0.00, 3
1.00, 5
2.00, 2
3.00, 2
4.00, 5
5.00, 2
6.00, 2
7.00, 2
8.00, 2
9.00, 2
10.00, 2
11.00, 2
12.00, 2
13.00, 2
14.00, 2
15.00, 2
16.00, 2
17.00, 2
18.00, 2
19.00, 2
20.00, 2
21.00, 2
22.00, 2
23.00, 2
24.00, 2
25.00, 2
26.00, 2
27.00, 2
28.00, 5
29.00, 5
30.00, 5
31.00, 2
32.00, 2
33.00, 2
34.00, 5
35.00, 2
36.00, 2
37.00, 2
38.00, 2
39.00, 2
40.00, 2
41.00, 2
42.00, 2
43.00, 2
44.00, 2
45.00, 5
46.00, 2
47.00, 2
48.00, 2
49.00, 0
50.00, 0
51.00, 2
52.00, 2
53.00, 0
54.00, 0
55.00, 0
56.00, 0
57.00, 0
58.00, 0
59.00, 2
60.00, 2
61.00, 2
62.00, 2
63.00, 2
64.00, 2
65.00, 2
66.00, 5
67.00, 0
68.00, 0
